index,RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
4198,6996,Chinese-Style Spareribs,47510,Dreamgoddess,,PT0S,PT0S,2000-03-06T16:20:00Z,This is one of the Zaar recipes that I adopted.  I hope to make this soon as it looks like a dish my family would enjoy.  I’ll edit the recipe accordingly if needed.,character(0),Chinese,"c(""Asian"", ""High Protein"", ""High In..."", ""Weeknight"", ""< 15 Mins"", ""Oven"")","c(""1/2"", ""1"", ""1"", ""1"", ""1/2"", ""1/4"", ""1/4"", ""1/4"", ""5"")","('butter', 'margarine', 'garlic', 'tomato puree', 'brown sugar', 'soy sauce', 'white vinegar', 'chili sauce')",4.0,3.0,887.4,65.0,25.9,248.9,928.9,16.1,1.3,11.6,56.6,12.0,,"c(""Preheat oven to 375 degrees F."", ""In large saucepan, melt butter and cook garlic with onion recipe soup mix over medium heat until garlic is golden."", ""Stir in tomato puree, sugar, soy sauce, vinegar and chil sauce."", ""Bring to a boil, then simmer, stirring occasionally, 15 minutes."", ""Meanwhile,in large aluminium foil-lined baking pan or broiler rack, arrange spareribs, meaty side up, and bake 20 minutes."", ""Brush spareribs generously with sauce, then continue baking, meaty side up, brushing occasionally with remaining sauce, 50 minutes, or untl spareribs are done.""
)"
4223,7022,Hot and Sour Tofu Soup,37106,Just Cher,PT30M,PT0S,PT30M,2000-03-06T16:20:00Z,Make and share this Hot and Sour Tofu Soup recipe from Food.com.,character(0),Chinese,"c(""Asian"", ""< 30 Mins"")","c(""1/2"", ""1"", ""3"", ""1"", ""1/2"", ""4"", ""1/2"", ""2"", ""1"", ""2"", ""1/4"", ""1/2"", ""1"", ""1"", ""2"", NA)","('dried mushroom', 'water', 'dry sherry', 'bamboo shoots', 'water chestnut', 'tofu', 'white wine vinegar', 'soy sauce', 'cornstarch', 'water', 'white pepper', 'egg', 'green onions', 'salt')",4.0,1.0,87.4,3.5,0.7,46.5,294.2,8.6,1.6,1.9,5.5,4.0,,"c(""Cover mushrooms with water and let stand for 30 minutes."", ""Remove mushrooms; cut off and discard stems."", ""Thinly slice mushrooms and set aside."", ""Measure soaking water (discard any sandy portion at the bottom) and add enough stock to make a total of 4 cupcs liquid."", ""Place in a 2-quart pan and add sherry, bamboo shoots, and sliced mushrooms."", ""Bring to a boil, then reduce heat; cover and simmer for 15 minutes."", ""Add tofu, peas, white vinegar, and soy; heat for 3 minutes."", ""In a small bowl, stir together cornstarch and the 1/4 cup water."", 
""Add to soup and cook, stirring, until slightly thickened."", ""Turn off heat."", ""Add pepper and seasameoil."", ""Stirring continuously, slowly pour egg into soup."", ""Sprinkle with onion; add salt to taste."")"
4613,7457,Chinese Style Shrimp,34879,Barefoot Beachcomber,,PT45M,PT45M,2000-03-13T21:33:00Z,Make and share this Chinese Style Shrimp recipe from Food.com.,character(0),Chinese,"c(""Asian"", ""< 60 Mins"")","c(""12"", ""1/4"", ""4"", ""1/2"", ""6"", ""1"", ""4"", ""2"", ""1"", ""1"", ""2"", ""2"", ""4"", ""3"", ""1"", NA, ""1"")","('shrimp', 'salt', 'sugar', 'soya sauce', 'white mushrooms', 'oyster sauce', 'green onion', 'cornstarch', 'gingerroot', 'water', 'white pepper', 'Chinese wine')",,,4037.7,443.6,57.7,49.0,1331.1,19.3,1.6,4.3,10.8,2.0,,"c(""Shell and devein shrimps."", ""Rinse thoroughly with cold water."", ""Drain and pat dry."", ""Soak the dried Chinese black mushrooms in hot water for 20 minutes."", ""Drain and pat dry."", ""Remove and discard stems."", ""Cut caps into triangular pieces."", ""Set aside."", ""Cut straw mushrooms in half and white mushrooms into 4 slices."", ""Set aside."", ""Cut green onion in 2, separating the white bulb from the green stems."", ""Cut green stems into 1 inch pieces and set aside for garnish."", ""Cut two 1/8 inch slices of ginger root and set aside with white bulb of green onion."", 
""In a deep saucepan, heat the oil until it browns a cube of bread in 1 minute."", ""Do not let it smoke."", ""Add shrimps and fry them until pink and curled."", ""Drain and set aside."", ""Deep fry the 3 kinds of mushrooms, 1 kind at a time for 15 - 20 seconds each."", ""Drain and set aside with shrimps."", ""In a wok, over medium high heat, heat 2 tablespoons of the vegetable oil."", ""Add slices of ginger root and white bulb of green onion."", ""Discard any ginger root or onion that turns brown."", ""Add chicken stock, cooking wine, salt, sugar, soya sauce and oyster sauce."", 
""Mix thoroughly and bring sauce to a boil."", ""Add shrimps and the 3 kinds of mushrooms and stir until shrimps and mushrooms are well-coated with the sauce."", ""Mix corn starch with water."", ""Add to the shrimp mixture and cook for 1 minute."", ""Add sesame oil and white pepper to taste."", ""Spoon onto warm serving platter and sprinkle with green onions."")"
4817,7697,Chinese Dry Marinade,47510,Dreamgoddess,,PT0S,PT0S,2000-03-13T21:38:00Z,This is one of the Zaar recipes that I adopted.  I hope to prepare this one soon and will post any modifications that I make to the recipe.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/76/97/pic1OnqVC.jpg""",Chinese,"c(""Asian"", ""< 15 Mins"", ""Easy"")","c(""3"", ""1 1/2"", ""1"", ""3/4"", ""3/4"", ""1/4"", ""1/4"")","('brown sugar', 'paprika', 'salt', 'msg', 'turmeric', 'celery seed', 'dry mustard')",4.5,2.0,176.8,0.9,0.1,0.0,2344.2,43.6,1.7,40.3,0.9,1.0,,"""Combine ingredients and use for marinade for spare ribs and pork."""
4818,7698,Chinese Pasta Salad,86318,mianbao,,PT0S,PT0S,2000-03-13T21:38:00Z,Make and share this Chinese Pasta Salad recipe from Food.com.,character(0),Chinese,"c(""Asian"", ""< 15 Mins"")","c(""1 1/2"", ""250"", ""1"", ""1/2"", ""6"", ""130"", ""1"", ""1"", ""2"", ""1/2"", ""1 1/2"", ""2"", ""3"", ""1"")","('snow peas', 'English cucumber', 'shrimp', 'fresh ginger', 'garlic', 'black pepper', 'salt', 'lemon juice', 'red wine vinegar')",4.5,3.0,273.5,7.6,1.1,44.8,1001.5,39.7,1.9,2.4,10.4,6.0,,"c(""Wash and trim snow peas."", ""Place them in a bowl and pour in enough boiling water to cover them."", ""Let stand 10 minutes; drain and set aside."", ""Cook the noodles in plenty of boiling water for 3 to 4 minutes."", ""Drain in colander, rinse with cold water and set aside."", ""In large bowl, combine noodles, snow peas, red pepper, cucumber, shrimp and crabmeat."", ""In a small bowl, combine ginger, garlic, sesame oil, pepper, salt, vegetable oil, lemon juice and vinegar."", ""Pour this dressing over the other ingredients and mix thoroughly."", 
""Chill before serving."")"
5042,7957,Unusual Chinese Grilled Short Ribs,123897,Vnut-Beyond Redempt,PT30M,PT0S,PT30M,2000-03-13T21:44:00Z,Make and share this Unusual Chinese Grilled Short Ribs recipe from Food.com.,character(0),Chinese,"c(""Asian"", ""< 30 Mins"")","c(""4"", ""1/3"", ""4 1/2"", ""4"", ""2 1/4"", ""3/4"", ""1/2"", ""1/2"", ""1/2"", ""2"", ""10"", NA)","('eggs', 'peanut butter', 'brown sugar', 'curry powder', 'soy sauce', 'black pepper', 'rice sherry wine', 'garlic cloves', 'green onions')",,,452.0,32.8,6.1,211.5,3182.9,26.2,3.9,17.2,17.8,4.0,,"c(""Make shortribs into short, flat strips."", ""Begin by placing rib fat-side-up on cutting board and cut 1/4\"" high layer almost (but not through) the bottom-most section of the rib."", ""Turn meat over and continue to make 1/4\"" layers until the rib is completely layered and is now one long strip."", ""Using the edge of a Chinese knife or other flat surface, pound meat until it is off an even thickness."", ""NOTE: Chill the meat well."", ""This cutting method will not work well on room temperature ribs."", 
""MARINADE: (Curry Based Blender Sauce) Blend all liquid ingredients in a blender for about 15 seconds at \""Blend\"" speed."", ""Grate the fresh ginger root and combine with the minced garlic."", ""Mince the white (only) portion of the green onions."", ""Add all ingredients to blender mixture and operate on \""low\""\"" for about 45 seconds."", ""Rub suace onto butterflied ribs and refridgerate for 2 or more hours."", ""NOTE: This sauce is excellent for chicken, too."", ""Place ribs on grill, basting often with sauce until done, about 30 minutes depending on heat of grill."", 
""Watch carefully to determine when done."")"
5287,8225,Fried Shrimp Balls,123897,Vnut-Beyond Redempt,PT20M,PT20M,PT40M,2000-03-13T21:50:00Z,Make and share this Fried Shrimp Balls recipe from Food.com.,character(0),Chinese,"c(""Asian"", ""High Protein"", ""Healthy"", ""High In..."", ""< 60 Mins"", ""Deep Fried"")","c(""1"", ""4"", ""1/2"", ""1/4"", ""1"", ""1"", ""1"", ""2"", ""1"", NA)","('fresh shrimp', 'water chestnuts', 'bamboo shoot', 'fresh ginger', 'salt', 'black pepper', 'white wine', 'cornstarch')",5.0,1.0,146.8,2.0,0.4,172.8,765.6,5.6,0.7,1.1,24.6,4.0,30-50 balls,"c(""Prepare shrimp by cleaning thoroughly and removing shell, legs and devein."", ""Mince the shrimp."", ""Combine all of the ingredients except oil Use a teaspoon of the mixture and shape into balls."", ""Heat oil in a deep pot or skillet and deep fry shrimp balls until Golden Brown."", ""Remove from oil and place onto paper towells to drain excess oil."", ""Serve Hot."", ""Note: You can add 150g minced pork to the mixture if you like. Increase the cornstarch to 1 tbs and use one whole egg."")"
5340,8282,Mustard Dipping Sauce,39547,Julesong,,PT0S,PT0S,2000-03-13T21:52:00Z,Make and share this Mustard Dipping Sauce recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/82/82/picGJhaLK.jpg""",Japanese,"c(""Asian"", ""Low Cholesterol"", ""Healthy"", ""< 15 Mins"", ""Easy"")","c(""2"", ""2"", ""1"", ""1/4"")","('soy sauce', 'sake', 'Dijon mustard')",5.0,5.0,5.9,0.1,0.0,0.0,184.4,0.4,0.1,0.1,0.4,12.0,,"c(""Combine all ingredients and whisk to blend well."", ""Will keep short periods if refrigerated."", ""Serve as a dip for meat balls or egg rolls."")"
5393,8345,Chinese Pasta Salad With Creamy Ginger Dressing,91453,WaterMelon,PT10M,PT20M,PT30M,2000-03-16T20:09:00Z,I just 'adopted' this recipe from the 'orphaned' recipe list - will be making and tweaking this soon. Sounds like a lovely recipe.,character(0),Chinese,"c(""Asian"", ""< 30 Mins"")","c(""1"", ""1"", ""1/2"", ""1/2"", ""2"", ""2"", ""1"", ""1"", ""1/4"", ""1/2"", ""3"", ""1"", ""1"", ""1"", ""2"", ""2/3"", ""1 1/2"", ""2 1/2"", ""1"")","('snow peas', 'shrimp', 'scallions', 'salt', 'white pepper', 'Chinese wine', 'fresh ginger', 'garlic clove', 'lemon juice', 'soy sauce')",4.0,1.0,546.7,52.1,7.8,161.8,842.8,6.3,1.7,2.6,14.7,4.0,,"c(""Mix the marinade ingredients in a small bowl and add shrimp."", ""Blanch the noodles, rinse under cool water and sprinkle with sesame seed oil, toss, and set aside. (You may want to trim noodles with scissors to about 4 inches in length, to make serving easier.) Blanch whole snow peas and set aside."", ""Heat wok, add 1 tablespoon oil, when oil is hot, add shrimp and stir-fry until pink; set aside."", ""DRESSING: In a blender or food processor, mix ginger, garlic, egg yolk, egg white, and lemon."", ""Slowly drizzle in oil."", 
""Mix in soy and cream; set aside."", ""Toss noodles, shrimps, and snow peas."", ""Mix in dressing to taste."", ""Garnish with scallions and coriander."", ""Serve at room temperature."")"
5411,8371,Noodles in Sesame Sauce,138047,HappyBunny,,PT0S,PT0S,2000-03-16T20:10:00Z,Make and share this Noodles in Sesame Sauce recipe from Food.com.,character(0),Chinese,"c(""Asian"", ""< 15 Mins"")","c(""10"", NA, ""1 1/2"", ""3"", ""3"", ""1/2"", ""2"", ""3 1/2"", ""2"", ""2"", ""1 1/2"", ""1/2"", ""1"", ""1"", NA, ""1/2"")","('green onions', 'garlic', 'ginger', 'Asian chili peppers', 'rice vinegar', 'soya sauce', 'sugar', 'broth', 'roasted sesame seeds', 'fresh coriander leaves', 'carrots', 'cucumber')",3.0,1.0,2063.8,120.0,17.0,1.8,2596.3,226.0,17.3,21.9,35.7,2.0,,"c(""Cook noodles, fresh or fried, until al dente."", ""Drain and rinse in cool, then cold, water."", ""Drain well."", ""Sprinkle with vegetable, peanut or sesame oil. (Cold, oiled cooked noodles can be stored in the fridge for several days)."", ""SAUCE: In a small skillet, heat vegetable oil and saute onions, garlic, ginger and chili peppers until garlic is soft but not brown."", ""Turn off heat and add vinegar, soy sauce, sugar, sesame paste and chicken stock."", ""Heat and simmer sauce, stirring for 2 minutes."", 
""Stir in sesame oil."", ""Cool to room temperature."", ""Pour sauce over chilled noodles and mix well."", ""Heap noodles on s platter and garnish with sesame seeds, coriander and julienned vegetables."")"
5427,8389,Spicy Thai Noodles,138047,HappyBunny,PT20M,PT10M,PT30M,2000-03-16T20:10:00Z,Make and share this Spicy Thai Noodles recipe from Food.com.,character(0),Thai,"c(""Asian"", ""Spicy"", ""< 30 Mins"", ""Stir Fry"")","c(""8"", ""1/4"", ""3"", ""1/2"", ""1/2"", ""2"", ""2"", ""1/3"", ""1/3"", ""3"", ""2"", ""2"", ""1"", ""1"", ""3"")","('garlic cloves', 'chicken breast', 'shrimp', 'eggs', 'bean sprouts', 'unsalted peanuts', 'ketchup', 'Chinese fish sauce', 'lemon juice', 'lime juice', 'soy sauce', 'chili sauce', 'granulated sugar', 'green onions')",,,668.4,29.2,5.4,252.5,6506.7,64.6,3.0,11.3,37.1,4.0,,"c(""Place noodles in large bowl; cover with hot water."", ""Let stand 20 minutes or until softened."", ""Drain well."", ""Heat oil in large skillet or wok over medium high heat."", ""Add garlic, chicken and shrimp; stir fry about 1 1/2 minutes until nearly cooked through."", ""Add egg; let set slightly then stir to scramble."", ""Add noodles, beansprouts and peanuts; stir fry until heated through, about 4 minutes."", ""Combine ketchup, fish sauce, lemon juice, soy sauce, chili sauce and sugar in small bowl."", ""Add to noodles; stir fry until well coated."", 
""Garnish with onions."")"
5488,8456,Vinegar-slithered Green Cabbage,2129,Zeke Koch,PT4M,PT5M,PT9M,2000-08-03T17:29:00Z,Make and share this Vinegar-slithered Green Cabbage recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/84/56/pich3Fcxz.jpg""",Chinese,"c(""Asian"", ""Low Protein"", ""Vegan"", ""Low Cholesterol"", ""Healthy"", ""< 15 Mins"", ""Stove Top"", ""Stir Fry"", ""Easy"")","c(""1"", ""2"", ""4"", ""1/2"", ""2"", ""1"", ""2"", ""2"", ""1"")","('head of cabbage', 'salt', 'sugar', 'cornstarch', 'cider vinegar', 'soy sauce', 'dry sherry')",4.0,1.0,165.6,7.1,0.9,0.0,836.1,21.0,5.4,15.0,4.3,4.0,,"c(""Rinse and drain the cabbage mix sauce ingredients in a bowl Heat the wok until it's hot then add the oil and peppers."", ""Cook them until the peppers turn a deep red (don't allow to burn)."", ""Add the cabbage and cook for 2 minutes until it turns bright green, but is still a bit crisp."", ""Add the sauce and stir until the starch turns translucent."", ""Serve with rice."")"
